time(s),Color Temperature,Lux,Clear,Raw Red,Raw Green,Raw Blue,R,G,B
0.2600734233856201,4499,81,622,265,190,181,109.07,78.20,74.50
0.5268728733062744,4518,84,628,267,193,183,108.84,78.68,74.60
0.7949211597442627,4594,81,625,266,191,183,108.95,78.23,74.96
1.059654712677002,5208,69,576,244,175,174,108.44,77.78,77.33
1.3120155334472656,5390,64,569,242,171,173,108.88,76.93,77.83
1.5625579357147217,8049,52,585,245,170,186,107.21,74.39,81.39
1.8292689323425293,609,249,175,198,104.67,73.56,83.23
2.0887298583984375,11874,47,598,246,171,195,105.31,73.20,83.48
2.3465254306793213,12650,46,597,245,170,195,105.06,72.90,83.62
2.6013503074645996,11906,48,603,247,173,197,104.86,73.45,83.64
2.8586626052856445,11244,49,605,248,174,197,104.94,73.63,83.36
3.1132359504699707,11244,49,607,248,174,197,104.59,73.38,83.08
3.3810455799102783,10205,53,616,251,178,199,104.31,73.97,82.70
3.6485307216644287,10221,53,612,250,177,198,104.58,74.04,82.82
3.9105470180511475,,176,198,104.67,73.98,83.23
4.164157867431641,10205,53,615,251,178,199,104.48,74.09,82.84
4.41695237159729,10221,53,612,250,177,198,104.58,74.04,82.82
4.6815185546875,10763,51,607,248,175,197,104.59,73.81,83.08
4.936434268951416,9499,58,623,253,182,201,103.96,74.79,82.59
5.189681053161621,9830,55,620,252,180,200,104.05,74.32,82.58
5.452198266983032,11260,51,616,250,177,200,103.90,73.56,83.12
5.703962087631226,11894,50,612,249,176,200,104.16,73.62,83.66
5.961002826690674,13375,47,607,247,173,199,104.17,72.96,83.93
6.214749813079834,11935,50,609,248,175,199,104.25,73.56,83.65
6.4654860496521,11260,51,615,250,177,200,104.07,73.68,83.25
6.727172613143921,13889,54,631,254,185,212,103.05,75.06,86.01
6.9797587394714355,14194,61,664,262,197,225,101.01,75.95,86.75
7.235586166381836,10891,63,659,262,195,217,101.78,75.75,84.30
7.489595890045166,6364,56,552,237,165,174,109.91,76.52,80.70
7.746458053588867,5268,58,559,239,164,168,109.45,75.11,76.94
8.008501291275024,5603,51,544,234,157,165,110.12,73.88,77.65
8.27112627029419,5433,54,552,237,161,167,109.91,74.67,77.45
8.534846782684326,6,556,238,162,167,109.58,74.59,76.89
8.800601243972778,5478,52,548,236,159,166,110.25,74.28,77.55
9.063761949539185,5268,58,559,239,164,168,109.45,75.11,76.94
9.327865839004517,5523,52,545,234,158,165,109.92,74.22,77.50
9.579030990600586,5407,54,550,236,160,166,109.85,74.47,77.27
9.830423831939697,5367,56,554,237,162,167,109.52,74.86,77.17
10.095289945602417,5367,56,554,237,162,167,109.52,74.86,77.17
10.350500345230103,5354,59,562,239,165,169,108.87,75.16,76.98
10.609972715377808,56,554,237,162,167,109.52,74.86,77.17
10.864014148712158,5354,59,561,239,165,169,109.06,75.29,77.12
11.127864837646484,5305,58,556,237,163,167,109.12,75.05,76.89
11.379404544830322,5213,59,560,239,165,168,109.26,75.43,76.80
11.64522671699524,5330,58,559,238,164,168,108.99,75.11,76.94
11.896052598953247,5186,61,564,240,167,169,108.94,75.80,76.71
12.147330284118652,5526,55,554,237,162,168,109.52,74.86,77.63
12.412345170974731,6577,42,533,230,150,164,110.47,72.05,78.77
12.665694952011108,5895,45,529,230,151,162,111.30,73.07,78.40
12.931118965148926,5730,46,535,232,153,163,111.01,73.21,78.00
13.187216520309448,5924,45,534,231,152,163,110.74,72.87,78.14
13.4449143409729,5924,45,532,231,152,163,111.16,73.14,78.44
13.699669361114502,5924,45,534,231,152,163,110.74,72.87,78.14
13.96871829032898,5895,45,529,230,151,162,111.30,73.07,78.40
14.233585834503174,6341,46,536,233,155,167,111.28,74.03,79.76
14.4959876537323,6637,53,556,238,164,175,109.58,75.51,80.58
14.755303382873535,6867,56,562,240,168,179,109.32,76.53,81.54
15.013263463973999,10222,63,639,257,191,211,102.96,76.52,84.53
15.281324625015259,10995,63,651,260,194,216,102.24,76.29,84.94
15.533369541168213,9927,69,663,263,199,218,101.55,76.84,84.17
15.803278923034668,11477,64,655,261,196,219,102.01,76.60,85.59
16.062129259109497,10623,65,657,261,196,217,101.70,76.37,84.55
16.319194316864014,10278,68,663,263,199,219,101.55,76.84,84.56
16.581003665924072,9919,69,666,264,200,219,101.48,76.88,84.18
16.850542306900024,19,69,666,264,200,219,101.48,76.88,84.18
17.11603283882141,10607,66,659,262,197,218,101.78,76.53,84.69
17.381426095962524,10623,65,656,261,196,217,101.85,76.49,84.68
17.64639639854431,69,662,262,199,218,101.32,76.95,84.30
17.900211334228516,11038,62,647,258,192,214,102.08,75.97,84.67
18.164671897888184,12473,58,642,257,189,214,102.48,75.36,85.33
18.430392265319824,13128,56,640,256,188,214,102.40,75.20,85.60
18.68771982192993,13076,57,642,257,189,215,102.48,75.36,85.73
18.944066762924194,11883,59,643,258,190,214,102.72,75.65,85.20
19.209609031677246,10995,63,652,260,194,216,102.09,76.17,84.81
19.464022874832153,11350,60,643,259,191,214,103.12,76.04,85.20
19.735928773880005,637,257,189,212,103.28,75.96,85.20
19.99719762802124,9548,67,642,260,195,213,103.68,77.76,84.93
20.262285232543945,10544,65,654,262,196,217,102.56,76.72,84.94
20.521656036376953,,659,263,197,219,102.17,76.53,85.07
20.772961854934692,9333,65,649,261,193,211,102.95,76.13,83.23
21.026349306106567,9341,64,643,259,191,209,103.12,76.04,83.21
21.282383918762207,9925,60,638,258,188,208,103.52,75.44,83.46
21.55509853363037,10016,65,657,263,195,215,102.48,75.98,83.77
21.809821367263794,9464,68,658,263,197,215,102.32,76.64,83.65
22.06059241294861,9423,64,631,257,190,208,104.27,77.08,84.39
22.31615662574768,9156,68,650,262,196,213,103.19,77.19,83.89
22.569302082061768,9404,66,646,261,194,212,103.43,76.88,84.01
22.82517695426941,8788,66,635,259,192,208,104.42,77.40,83.86
23.07813572883606,,192,207,104.34,77.65,83.72
23.344913482666016,9718,61,625,255,187,206,104.45,76.60,84.38
23.61423635482788,10485,58,617,253,184,205,104.97,76.34,85.06
23.876108407974243,6,617,252,183,206,104.56,75.93,85.47
24.129077434539795,10905,58,625,255,186,208,104.45,76.19,85.20
24.392751455307007,9413,65,638,259,192,210,103.92,77.04,84.26
24.65077304840088,9695,63,634,258,190,209,104.18,76.72,84.39
24.914809465408325,10862,59,635,257,188,210,103.61,75.79,84.66
25.180797576904297,9469,67,649,262,196,214,103.35,77.31,84.41
25.447508573532104,10953,62,641,259,192,214,103.44,76.68,85.47
25.707590341567993,13504,62,660,263,198,225,102.01,76.80,87.27
25.961602210998535,12447,66,666,264,201,226,101.48,77.26,86.87
26.22657608985901,12364,65,667,265,201,226,101.71,77.15,86.74
26.479134559631348,10139,67,664,264,198,218,101.78,76.34,84.05
26.739450216293335,9773,69,667,266,200,219,102.09,76.76,84.05
26.997152090072632,7681,72,638,260,195,206,104.33,78.24,82.66
27.258660554885864,9407,73,669,266,204,221,101.79,78.06,84.57
27.518253087997437,10128,67,664,265,199,219,102.17,76.72,84.43
27.768671989440918,10016,65,659,263,195,215,102.17,75.75,83.52
28.02520751953125,,61,645,259,190,211,102.80,75.41,83.75
28.302236557006836,10037,63,651,261,193,213,102.64,75.90,83.76
28.57954430580139,10026,64,657,262,194,214,102.09,75.59,83.39
28.841333866119385,,193,213,102.17,75.55,83.38
29.09418225288391,9211,71,671,267,202,219,101.87,77.07,83.55
29.353808879852295,10137,71,684,270,205,225,101.05,76.73,84.21
29.611448287963867,12280,65,675,266,201,226,100.88,76.23,85.71
29.877305269241333,11392,70,687,269,206,229,100.24,76.76,85.33
30.14262366294861,11716,67,686,269,204,228,100.38,76.13,85.08
30.395864248275757,12294,66,680,267,203,228,100.52,76.42,85.84
30.64914345741272,11796,68,683,268,204,228,100.45,76.46,85.46
30.910495281219482,9,683,267,205,229,100.08,76.84,85.83
31.163227796554565,13352,64,676,266,201,228,100.73,76.12,86.34
31.428848028182983,12840,65,677,266,202,228,100.58,76.38,86.22
31.695346117019653,12838,64,672,265,200,226,100.95,76.19,86.10
31.952627420425415,12794,63,671,265,199,225,101.10,75.92,85.84
32.20888924598694,12752,63,674,266,200,226,101.03,75.96,85.84
32.464823722839355,12838,64,673,265,200,226,100.80,76.08,85.97
32.733298778533936,13341,65,679,267,203,230,100.67,76.54,86.72
32.992696046829224,63,197,224,100.94,75.61,85.97
33.257338523864746,14039,61,668,264,198,226,101.17,75.88,86.61
33.52536225318909,14039,61,668,264,198,226,101.17,75.88,86.61
33.78291416168213,60,667,263,197,226,100.94,75.61,86.74
34.03622031211853,14789,60,668,263,197,226,100.79,75.50,86.61
34.30223345756531,14789,60,667,263,197,226,100.94,75.61,86.74
34.56106495857239,14789,60,667,263,197,226,100.94,75.61,86.74
34.834654569625854,12414,62,659,261,195,220,101.39,75.75,85.46
35.09189414978027,12881,63,670,264,199,225,100.87,76.04,85.97
35.34293079376221,14194,61,666,262,197,225,100.71,75.72,86.49
35.60968613624573,12924,64,671,264,200,226,100.72,76.30,86.22
35.875531911849976,262,195,224,101.16,75.29,86.49
36.14081144332886,13504,62,668,263,198,225,100.79,75.88,86.23
36.40088129043579,13504,62,667,263,198,225,100.94,75.99,86.36
36.657498598098755,8,61,672,265,199,227,100.95,75.81,86.48
36.90991139411926,14039,61,669,264,198,226,101.02,75.77,86.48
37.17117762565613,14039,61,669,264,198,226,101.02,75.77,86.48
37.42612624168396,13363,62,672,265,199,226,100.95,75.81,86.10
37.6972758769989,13452,62,671,264,199,226,100.72,75.92,86.22
37.95774435997009,13363,62,672,265,199,226,100.95,75.81,86.10
38.22041416168213,12246,66,678,267,202,227,100.81,76.27,85.71
38.49504804611206,12212,66,681,268,203,228,100.75,76.31,85.71
